Region,Year,Deaths,DeathsMale,DeathsFemale,NormalizedDeaths
Asia,1959,34213.368,17890.06800000001,16323.304000000004,1.0817949337520374
Asia,1960,37750.029,19712.979999999996,18037.05,1.1936208712685783
Asia,1961,32762.186000000005,17127.641999999996,15634.543999999998,1.035909906134992
Asia,1962,28761.332,15077.261999999997,13684.071999999998,0.9094066168978264
Asia,1963,29495.071000000004,15463.930000000002,14031.142,0.9326067629020517
Asia,1964,29429.054999999997,15429.765999999998,13999.282,0.9305193982688306
Asia,1965,30454.025,16057.507000000003,14396.523,0.9629279981251156
Asia,1966,29806.174,15632.505,14173.672999999999,0.9424435509456918
Asia,1967,29451.049999999996,15431.771999999999,14019.278,0.9312148597494972
Asia,1968,29110.953999999998,15253.123000000001,13857.831000000002,0.9204613399618712
Asia,1969,29048.847999999998,15208.599999999999,13840.248000000001,0.9184976058987528
Asia,1970,29273.227,15305.077,13968.151,0.9255922615737028
Asia,1971,30374.543,16184.089999999998,14190.455999999996,0.9604148510732242
Asia,1972,28421.299999999996,14867.660000000002,13553.636999999999,0.898655120730785
Asia,1973,28048.144,14686.019999999997,13362.119999999999,0.8868562744348234
Asia,1974,27767.775999999994,14569.309000000001,13198.474000000002,0.8779912985579615
Asia,1975,27668.044000000005,14589.286,13078.754000000003,0.8748378653054111
Asia,1976,27355.729000000003,14383.669,12972.063,0.8649627549469462
Asia,1977,26717.459999999995,14075.518999999997,12641.943000000001,0.8447812817119527
Asia,1978,26562.23,14046.78,12515.452999999998,0.8398730532216642
Asia,1979,26458.579,14030.28,12428.299,0.836595704827366
Asia,1980,26530.832000000002,14111.666000000001,12419.163999999999,0.8388802776103901
Asia,1981,26568.924,14183.498000000001,12385.425,0.8400847112872055
Asia,1982,26661.288999999997,14269.155999999999,12392.125,0.8430052068390028
Asia,1983,26548.302000000003,14230.237,12318.057999999999,0.8394326627918972
Asia,1984,26569.408999999996,14245.062,12324.35,0.8401000465369496
Asia,1985,26651.345999999998,14295.175,12356.171000000002,0.8426908184097113
Asia,1986,26708.255999999998,14335.008,12373.251,0.8444902597766012
Asia,1987,26805.213000000003,14397.072000000002,12408.136,0.8475559501053581
Asia,1988,26923.864,14487.349,12436.51,0.8513075845742186
Asia,1989,26940.762,14477.23,12463.530000000002,0.8518418836467491
Asia,1990,27124.702,14559.914999999999,12564.789999999999,0.8576578956837503
Asia,1991,27164.215,14504.431,12659.786,0.8589072600613626
Asia,1992,26807.016,14349.68,12457.335000000001,0.8476129592915204
Asia,1993,26747.251,14347.947000000002,12399.307999999997,0.8457232454751055
Asia,1994,26823.372,14348.038,12475.34,0.8481301208272233
Asia,1995,26930.749000000003,14427.002999999999,12503.746000000001,0.8515252818824429
Asia,1996,27031.155,14459.866999999998,12571.291000000001,0.8547000263892772
Asia,1997,26972.905,14466.832999999999,12506.079000000002,0.8528582154663931
Asia,1998,26867.328000000005,14481.894999999999,12385.435000000001,0.8495199687401213
Asia,1999,27001.555,14503.665,12497.896,0.8537641018688074
Asia,2000,27090.738,14620.920999999998,12469.821,0.8565839855346543
Asia,2001,26959.025999999998,14694.648000000001,12264.381999999998,0.8524193743711362
Asia,2002,27059.545,14760.662,12298.88,0.8555976918330658
Asia,2003,27185.293999999998,14889.738000000001,12295.555000000002,0.8595737584724094
Asia,2004,27564.715,15102.712,12462.003,0.87157069825218
Asia,2005,27647.079,15199.116,12447.960000000003,0.8741749714685308
Asia,2006,27730.650999999998,15286.836000000001,12443.818000000001,0.8768174405234196
Asia,2007,28092.593999999997,15519.08,12573.512,0.88826174216911
Asia,2008,28643.821,15797.503999999999,12846.315999999999,0.9056910281706325
Asia,2009,28678.612,15856.540999999997,12822.071,0.9067910872919728
Asia,2010,28900.281000000003,15972.746,12927.534999999998,0.9138000552827851
Asia,2011,29175.559999999998,16119.554,13056.007000000001,0.9225041217040834
Asia,2012,29395.319,16271.439000000002,13123.881,0.929452697268068
Asia,2013,29576.082000000002,16379.094999999998,13196.991999999998,0.9351682555144769
Asia,2014,29720.648999999998,16404.604,13316.044,0.9397393298438947
Asia,2015,29933.555,16490.614999999998,13442.944,0.9464712199099478
Asia,2016,30245.768999999997,16672.823,13572.943,0.956343136742177
Asia,2017,30770.444,17057.485,13712.963,0.9729328731535807
Asia,2018,30948.888,17068.912,13879.972999999998,0.9785751067728622
Asia,2019,31476.210999999996,17344.646,14131.561999999996,0.9952485704859617
Asia,2020,33775.722,18739.907999999996,15035.811000000002,1.0679569735261736
Asia,2021,38150.365,21029.066,17121.300000000003,1.206279123931647
Asia,2022,36904.496999999996,20256.403000000002,16648.092,1.166885934388782
Asia,2023,32905.289,18075.176999999996,14830.112,1.0404346901435322
Europe,1950,6462.401999999999,3288.7400000000002,3173.6659999999997,1.0
Europe,1951,6599.034999999999,3349.5480000000002,3249.4909999999995,1.0211427577547791
Europe,1952,6254.518,3172.7549999999997,3081.756,0.9678317752439419
Europe,1953,6210.351,3149.164,3061.1879999999996,0.9609973195725058
Europe,1954,6062.082,3067.485,2994.598,0.9380539929270882
Europe,1955,5976.589,3024.2879999999996,2952.3,0.9248247014035959
Europe,1956,5889.055,2983.721,2905.3349999999996,0.9112795830404857
Europe,1957,5952.772,3026.845,2925.934,0.921139229654856
Europe,1958,5637.101,2859.231,2777.8749999999995,0.8722919125117875
